QUEST_JOBSTEP_20150317_000001	보코르라. 어려운 길을 택하셨군요.{nl}모험일지의 제작법을 참고하여 당신만의 인형을 만들어 오세요.
QUEST_JOBSTEP_20150317_000002	스스로 구하지 않으면 얻을 수 없습니다.{nl}인형의 제조법은 당신의 모험일지를 참고하세요.
QUEST_JOBSTEP_20150317_000003	{memo X}새로운 보코르의 탄생을 축하합니다.{nl}제가 보코르의 길을 선택했을 땐 나만의 인형을 만드는 것부터 시작했답니다.{nl}
QUEST_JOBSTEP_20150317_000004	펠타스타 마스터
QUEST_JOBSTEP_20150317_000005	{memo X}그대가 정녕 제게 가르침을 받고 싶다면 그 자격이 있는지 증명해야 할 것입니다.{nl}과제를 드리지요. 수정광산 1층을 점령하고 있는 부베들을 처치하십시오.{nl}{nl}
QUEST_JOBSTEP_20150317_000006	그 정도도 해내지 못하고서야 어찌 펠타스타의 이름을 짊어진단 말입니까?
QUEST_JOBSTEP_20150317_000007	좋습니다.{nl}그대의 성장이 세상을 지키는 일이 되길 바라겠습니다.
QUEST_JOBSTEP_20150317_000008	하이랜더 마스터
QUEST_JOBSTEP_20150317_000009	{memo X}그대가 나의 검법을 계승하겠다는 건 참으로 고마운 일이나 제대로 따라올 수 있을지 의문이 드는군.{nl}수정광산 1층을 점거하고 있는 부베들을 처치하는 것으로 그대를 시험해 보겠다.
QUEST_JOBSTEP_20150317_000010	서둘러라.{nl}비록 입문 과제이지만 그 부베들이 광산 마을의 위협이 되는 건 사실이니까.
QUEST_JOBSTEP_20150317_000011	결과가 좋군. 그대의 하이랜더 입문을 허락하겠다.{nl}앞으로도 열심히 정진하도록.
QUEST_JOBSTEP_20150317_000012	파이로맨서 마스터
QUEST_JOBSTEP_20150317_000013	{memo X}저에게 마법을 배우겠다는 열의는 알겠습니다만, 아무에게나 가르쳐 드릴 순 없습니다.{nl}제 연구를 얼마나 잘 보조해 주시는지에 따라서 결정하겠어요.
QUEST_JOBSTEP_20150317_000014	{memo X}수고하셨어요. 덕분에 다음 연구단계로 넘어갈 수 있겠네요.{nl}약속대로 파이로맨서의 마법을 가르쳐 드리지요.
QUEST_JOBSTEP_20150317_000015	{memo X}잘 오셨어요. 당신이 해 주실 일은 제가 소환한 악령을 처치해 주시면 됩니다.{nl}그 과정에서 뿜어져 나오는 특별한 파장을 기록하겠어요.
QUEST_JOBSTEP_20150317_000016	{memo X}전 물질의 제4번째 상태에 대해 연구중입니다.{nl}영혼을 다루는 보코르 마스터님의 협조가 없으면 절대로 불가능한 일이지요.
